Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Solución (1-4)
"En relación con el contenido específico del Potestad Sancionadora (Pregunta avanzada 11), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Es un trámite de carácter meramente facultativo y no vinculante.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el potestad sancionadora.",Producirá efectos retroactivos solo cuando se dicte en sustitución de actos anulados.,Determinará el archivo automático de las actuaciones sin recurso posible.,2
"En relación con el contenido específico del Potestad Sancionadora (Pregunta avanzada 12), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Supone una vulneración del principio de tipicidad sancionadora.,Determinará el archivo automático de las actuaciones sin recurso posible.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el potestad sancionadora.",Requiere informe previo de la Abogacía del Estado en el plazo de diez días hábiles.,3
"En relación con el contenido específico del Potestad Sancionadora (Pregunta avanzada 13), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?","La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el potestad sancionadora.",Determinará el archivo automático de las actuaciones sin recurso posible.,Requiere informe previo de la Abogacía del Estado en el plazo de diez días hábiles.,Queda supeditado a la aprobación del superior jerárquico según el reglamento orgánico.,1
"En relación con el contenido específico del Potestad Sancionadora (Pregunta avanzada 14), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Queda supeditado a la aprobación del superior jerárquico según el reglamento orgánico.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el potestad sancionadora.",Requiere informe previo de la Abogacía del Estado en el plazo de diez días hábiles.,Requiere informe previo de la Abogacía del Estado en el plazo de diez días hábiles.,2
"En relación con el contenido específico del Potestad Sancionadora (Pregunta avanzada 15), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Producirá efectos retroactivos solo cuando se dicte en sustitución de actos anulados.,Requiere informe previo de la Abogacía del Estado en el plazo de diez días hábiles.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el potestad sancionadora.",Es competencia exclusiva del Consejo de Ministros.,3
"En relación con el contenido específico del Potestad Sancionadora (Pregunta avanzada 16), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Se aplicará supletoriamente la Ley de Jurisdicción Contencioso-Administrativa.,Producirá efectos retroactivos solo cuando se dicte en sustitución de actos anulados.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el potestad sancionadora.",Supone una vulneración del principio de tipicidad sancionadora.,3
"En relación con el contenido específico del Potestad Sancionadora (Pregunta avanzada 17), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Determinará el archivo automático de las actuaciones sin recurso posible.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el potestad sancionadora.",Requiere informe previo de la Abogacía del Estado en el plazo de diez días hábiles.,Debe publicarse obligatoriamente en el Boletín Oficial del Estado para tener validez.,2
"En relación con el contenido específico del Potestad Sancionadora (Pregunta avanzada 18), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?","La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el potestad sancionadora.",Supone una vulneración del principio de tipicidad sancionadora.,Producirá efectos retroactivos solo cuando se dicte en sustitución de actos anulados.,Supone una vulneración del principio de tipicidad sancionadora.,1
"En relación con el contenido específico del Potestad Sancionadora (Pregunta avanzada 19), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Es competencia exclusiva del Consejo de Ministros.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el potestad sancionadora.",Incurre en causa de anulabilidad y será convalidable subsanando los vicios de forma.,Supone una vulneración del principio de tipicidad sancionadora.,2
"En relación con el contenido específico del Potestad Sancionadora (Pregunta avanzada 20), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Queda supeditado a la aprobación del superior jerárquico según el reglamento orgánico.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el potestad sancionadora.",Determinará el archivo automático de las actuaciones sin recurso posible.,Se aplicará supletoriamente la Ley de Jurisdicción Contencioso-Administrativa.,2
