Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,"Solución (1,2,3 o 4)"
¿Qué define la Ley 4/2023 como 'intersexualidad'?,"Atracción afectiva, física o romántica hacia cualquier persona, independientemente de su género o sexo.","Condición en la que una persona nace con características sexuales, ya sean anatómicas, cromosómicas o gonadales, que no se ajustan a las nociones médicas normativas de los cuerpos típicamente de hombres o mujeres.",Proceso de transición médica y social para modificar la apariencia corporal hacia el género con el cual una persona se identifica.,Discriminación múltiple basada simultáneamente en el género y la clase social.,2
"En el ámbito de aplicación de la ley (Disposiciones Generales), el principio de no discriminación se aplica:","Únicamente en las relaciones laborales formales por cuenta ajena, quedando excluido el trabajo autónomo y el acceso al empleo.","En el acceso al empleo, promoción profesional, condiciones de trabajo, acceso a bienes y servicios, afiliación a sindicatos, sanidad, educación y servicios sociales, entre otros ámbitos.",Solo en los ámbitos sanitarios y educativos financiados total o parcialmente con fondos del Estado.,"Únicamente frente a la Administración General del Estado, siendo de aplicación voluntaria (opt in) para las Comunidades Autónomas.",2
"Según la ley, ¿qué es la 'discriminación por asociación'?","Aquella que sufre una persona debido a su relación, vinculación o asociación con una persona o un grupo de personas LGTBI o por su defensa, aunque la persona discriminada no sea LGTBI.",Aquella que sufre una persona por no pertenecer o rechazar afiliarse a una asociación o colectivo de defensa de los derechos LGTBI.,"El trato desfavorable sistemático sufrido por una entidad jurídica, asociación, fundación u ONG por no incluir cláusulas de diversidad en sus estatutos.",La marginación que se da entre personas del mismo colectivo por tener diferentes orientaciones sexuales o identidades de género dentro de una misma asociación LGTBI.,1
"El artículo 8 (Legitimación para la defensa del derecho a la igualdad de trato y no discriminación) establece que, para la defensa de los derechos de las personas LGTBI, las asociaciones, organizaciones o entidades legalmente constituidas cuyo fin primordial sea la defensa de estos derechos...","Podrán actuar siempre en nombre y representación de la persona afectada, independientemente de que esta preste o no su consentimiento expreso.","Tienen legitimación para actuar como parte interesada o actuar en nombre y representación de la persona afectada, con su autorización expresa.","Solo podrán actuar como peritos técnicos (amicus curiae) en los procesos penales, sin capacidad de personarse como acusación popular o particular.","Carecen de legitimación en procesos de la jurisdicción social, donde el monopolio de representación sindical excluye a las asociaciones civiles LGTBI.",2
La 'LGTBIfobia' es definida en la ley como:,Exclusivamente la agresión física directa contra una persona por ser parte del colectivo LGTBI.,"Todo tipo de rechazo, desprecio, prejuicio, discriminación o intolerancia hacia las personas LGTBI por el hecho de serlo o de ser percibidas como tales.",El delito de odio tipificado en el Código Penal consistente en la difusión de propaganda política que instigue explícitamente a la comisión de delitos violentos.,El rechazo institucional formalmente declarado mediante ley o reglamento a los derechos civiles del colectivo.,2
"En relación con el objeto de la ley (Art. 1), ¿se contemplan principios de actuación para los poderes públicos?","No, la ley es de aplicación puramente sancionadora en el ámbito privado sin afectar al diseño de políticas públicas.","Sí, el Título I establece los principios de actuación de los poderes públicos y recoge medidas relativas al diseño, desarrollo y evaluación de políticas públicas orientadas a garantizar los derechos de las personas LGTBI.","Sí, pero se limita estrictamente al ámbito del Ministerio de Igualdad y del Ministerio del Interior en el diseño de planes de seguridad ciudadana.",Solo se contemplan para las instituciones de la Unión Europea y el control de directivas comunitarias sobre igualdad de trato en el empleo.,2
¿Qué significa 'discriminación interseccional' según el texto de la Ley 4/2023?,La discriminación que se da cuando la empresa privada y la administración pública actúan coordinadamente para vulnerar un derecho fundamental de una persona LGTBI.,La que sufren las personas con orientación sexual biespecífica en entornos laborales.,"La concurrencia o interacción de diversas causas de la discriminación, entre ellas cualquiera de las previstas en la ley, de manera que generen una forma específica de discriminación cualitativamente distinta (sinergia), inescindible de las causas concurrentes.",La discriminación que afecta indirectamente a los familiares de primer grado de las personas trans en el sistema de educación pública.,3
"Para prevenir y eliminar la discriminación en los distintos ámbitos, la ley (Tít I) ampara la adopción de 'medidas de acción positiva'. Estas medidas...","Se considerarán discriminatorias hacia las personas no LGTBI por atentar contra la neutralidad del artículo 14 de la Constitución, debiendo usarse sólo como recomendaciones.","Son excepcionales, aplicables por un plazo máximo improrrogable de dos años en cualquier circunstancia, pasado el cual se declaran nulas.","Consisten en el establecimiento de diferencias de trato estrictamente objetivas, razonables y proporcionadas que persigan la prevención, reparación o compensación de las desventajas por causas previstas en la ley para garantizar la igualdad de trato, y no se considerarán discriminatorias.",Deberán implicar siempre cuotas obligatorias de contratación en la administración pública superior al 10% del personal laboral y funcionario.,3
"Respecto a las excepciones justificadas, la Ley 4/2023 dispone que en relación con los servicios y espacios separados por sexo (como vestuarios, competiciones deportivas, etc.):",No se podrá discriminar a las personas trans por razón de su identidad sexual y el acceso se garantizará en atención al sexo registral.,"A las personas trans se les exigirá usar vestuarios específicos separados (neutrales) en todos los centros de carácter público, prohibiéndose el uso de los espacios binarios.","La empresa prestadora del servicio podrá prohibir la entrada si alega incomodidad por parte de los demás usuarios a fin de mantener el orden público y la buena fe comercial, eximiéndose de multa.",El acceso siempre estará condicionado a la previa aportación de informes médicos o psicológicos que certifiquen el inicio de un proceso de transición médica.,1
El derecho a la protección frente a las represalias contemplado en las Disposiciones Generales de la Ley 4/2023 protege:,"A cualquier persona, sea o no LGTBI, que haya presentado una denuncia o haya prestado testimonio o colaborado en una investigación sobre discriminación por motivos de orientación sexual, identidad sexual, expresión de género o características sexuales.","Únicamente al propio sujeto discriminado que interponga la demanda, dejando fuera de protección legal al resto de compañeros de trabajo que testifiquen a su favor.","A las autoridades de la Inspección de Trabajo que instruyan los expedientes sancionadores, otorgándoles escolta policial temporal.",Exclusivamente a los miembros de la directiva de asociaciones LGTBI que suscriban comunicados de prensa denunciando irregularidades institucionales.,1
