Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Solución (1-4)
"En relación con el contenido específico del Contratos: Tipos y Partes (Pregunta avanzada 11), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Es un trámite de carácter meramente facultativo y no vinculante.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el contratos: tipos y partes.",Supone una vulneración del principio de tipicidad sancionadora.,Requiere informe previo de la Abogacía del Estado en el plazo de diez días hábiles.,2
"En relación con el contenido específico del Contratos: Tipos y Partes (Pregunta avanzada 12), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Es un trámite de carácter meramente facultativo y no vinculante.,Se aplicará supletoriamente la Ley de Jurisdicción Contencioso-Administrativa.,Debe publicarse obligatoriamente en el Boletín Oficial del Estado para tener validez.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el contratos: tipos y partes.",4
"En relación con el contenido específico del Contratos: Tipos y Partes (Pregunta avanzada 13), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Queda supeditado a la aprobación del superior jerárquico según el reglamento orgánico.,Es un trámite de carácter meramente facultativo y no vinculante.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el contratos: tipos y partes.",Incurre en causa de anulabilidad y será convalidable subsanando los vicios de forma.,3
"En relación con el contenido específico del Contratos: Tipos y Partes (Pregunta avanzada 14), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?","La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el contratos: tipos y partes.",Determinará el archivo automático de las actuaciones sin recurso posible.,Requiere informe previo de la Abogacía del Estado en el plazo de diez días hábiles.,Incurre en causa de anulabilidad y será convalidable subsanando los vicios de forma.,1
"En relación con el contenido específico del Contratos: Tipos y Partes (Pregunta avanzada 15), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Supone una vulneración del principio de tipicidad sancionadora.,Producirá efectos retroactivos solo cuando se dicte en sustitución de actos anulados.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el contratos: tipos y partes.",Es competencia exclusiva del Consejo de Ministros.,3
"En relación con el contenido específico del Contratos: Tipos y Partes (Pregunta avanzada 16), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Requiere informe previo de la Abogacía del Estado en el plazo de diez días hábiles.,Requiere informe previo de la Abogacía del Estado en el plazo de diez días hábiles.,Es competencia exclusiva del Consejo de Ministros.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el contratos: tipos y partes.",4
"En relación con el contenido específico del Contratos: Tipos y Partes (Pregunta avanzada 17), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?","La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el contratos: tipos y partes.",Requiere informe previo de la Abogacía del Estado en el plazo de diez días hábiles.,Es un trámite de carácter meramente facultativo y no vinculante.,Es competencia exclusiva del Consejo de Ministros.,1
"En relación con el contenido específico del Contratos: Tipos y Partes (Pregunta avanzada 18), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Requiere informe previo de la Abogacía del Estado en el plazo de diez días hábiles.,Debe publicarse obligatoriamente en el Boletín Oficial del Estado para tener validez.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el contratos: tipos y partes.",Requiere informe previo de la Abogacía del Estado en el plazo de diez días hábiles.,3
"En relación con el contenido específico del Contratos: Tipos y Partes (Pregunta avanzada 19), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Es un trámite de carácter meramente facultativo y no vinculante.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el contratos: tipos y partes.",Se aplicará supletoriamente la Ley de Jurisdicción Contencioso-Administrativa.,Queda supeditado a la aprobación del superior jerárquico según el reglamento orgánico.,2
"En relación con el contenido específico del Contratos: Tipos y Partes (Pregunta avanzada 20), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Supone una vulneración del principio de tipicidad sancionadora.,Incurre en causa de anulabilidad y será convalidable subsanando los vicios de forma.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el contratos: tipos y partes.",Supone una vulneración del principio de tipicidad sancionadora.,3
